"gender";"ethnicity";"birth";"grade";"star";"read";"math";"lunch";"school";"degree";"ladder";"experience";"tethnicity";"system";"schoolid"
"female";"afam";1979.5;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1979.5;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1979.5;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1979.5;"3";"regular";580;564;"free";"suburban";"bachelor";"level1";30;"cauc";"22";"54"
"female";"cauc";1980;"k";"small";447;473;"non-free";"rural";"bachelor";"level1";7;"cauc";"30";"63"
"female";"cauc";1980;"1";"small";507;538;"free";"rural";"bachelor";"level1";7;"cauc";"30";"63"
"female";"cauc";1980;"2";"small";568;579;"non-free";"rural";"bachelor";"apprentice";3;"cauc";"30";"63"
"female";"cauc";1980;"3";"small";587;593;"free";"rural";"bachelor";"apprentice";1;"cauc";"30";"63"
"female";"afam";1979.75;"k";"small";450;536;"non-free";"suburban";"bachelor";"level1";21;"cauc";"11";"20"
"female";"afam";1979.75;"1";"small";579;592;NA;"suburban";"master";"probation";32;"afam";"11";"20"
"female";"afam";1979.75;"2";"regular+aide";588;579;"non-free";"suburban";"bachelor";"level1";4;"afam";"11";"20"
"female";"afam";1979.75;"3";"regular+aide";644;639;"non-free";"suburban";"bachelor";"level1";4;"cauc";"11";"20"
"male";"cauc";1979.75;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979.75;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979.75;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979.75;"3";"small";686;667;"non-free";"rural";"bachelor";"level1";10;"cauc";"6";"8"
"male";"afam";1980;"k";"regular+aide";439;463;"free";"inner-city";"bachelor";"probation";0;"cauc";"11";"19"
"male";"afam";1980;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1980;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1980;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979.5;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979.5;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979.5;"2";"regular";NA;NA;"non-free";"rural";"bachelor";"notladder";13;"cauc";"6";"8"
"male";"cauc";1979.5;"3";"regular";644;648;"non-free";"rural";"bachelor";"level1";15;"cauc";"6";"8"
"male";"afam";1979;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1979;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1979;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1979;"3";"regular+aide";NA;NA;"free";"inner-city";"bachelor";"notladder";17;"afam";"11";"31"
"female";"cauc";1979.75;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979.75;"1";"regular+aide";475;512;"non-free";"rural";"master";"apprentice";8;"cauc";"4";"5"
"female";"cauc";1979.75;"2";"regular+aide";573;550;"non-free";"rural";"master";"level1";13;"afam";"4";"5"
"female";"cauc";1979.75;"3";"regular+aide";599;583;"non-free";"rural";"bachelor";"level3";23;"cauc";"4";"5"
"male";"cauc";1979.25;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979.25;"1";"regular";NA;NA;"non-free";"rural";"master";"level1";13;"cauc";"40";"77"
"male";"cauc";1979.25;"2";"regular";NA;NA;"non-free";"rural";"bachelor";"level1";6;"cauc";"40";"77"
"male";"cauc";1979.25;"3";"regular";NA;NA;"non-free";"rural";"bachelor";"level1";8;"cauc";"40";"77"
"male";"cauc";1979.5;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979.5;"1";"regular";651;532;"non-free";"rural";"bachelor";"level1";7;"cauc";"21";"50"
"male";"cauc";1979.5;"2";"regular";596;590;"non-free";"rural";"bachelor";"level1";8;"cauc";"21";"50"
"male";"cauc";1979.5;"3";"regular";626;618;"non-free";"rural";"master";"level1";8;"cauc";"21";"50"
