INSEE_COM;NOM_COM;NB_IRIS
01004;Ambérieu-en-Bugey;4
01033;Bellegarde-sur-Valserine;5
01034;Belley;3
01053;Bourg-en-Bresse;18
01143;Divonne-les-Bains;3
01160;Ferney-Voltaire;3
01173;Gex;3
01194;Jassans-Riottier;2
01202;Lagnieu;2
01244;Meximieux;3
01249;Miribel;3
01262;Montluel;2
01283;Oyonnax;12
01289;Péronnas;2
01354;Saint-Genis-Pouilly;3
01427;Trévoux;2
01451;Viriat;2
02168;Château-Thierry;7
02173;Chauny;3
02340;Gauchy;3
02381;Hirson;4
02408;Laon;12
02691;Saint-Quentin;27
02722;Soissons;13
02738;Tergnier;6
02810;Villers-Cotterêts;4
03023;Bellerive-sur-Allier;4
03082;Commentry;3
03095;Cusset;6
03101;Domérat;3
03118;Gannat;2
03185;Montluçon;17
03190;Moulins;9
03254;Saint-Pourçain-sur-Sioule;2
03310;Vichy;10
03321;Yzeure;6
04049;Château-Arnoux-Saint-Auban;2
04070;Digne-les-Bains;9
04112;Manosque;10
04209;Sisteron;3
05023;Briançon;9
05046;Embrun;3
05061;Gap;21
06004;Antibes;26
06012;Beausoleil;5
06018;Biot;3
06027;Cagnes-sur-Mer;17
06029;Cannes;31
06030;Le Cannet;17
06033;Carros;5
06044;La Colle-sur-Loup;3
06048;Contes;2
06065;La Gaude;2
06069;Grasse;17
06079;Mandelieu-la-Napoule;9
06083;Menton;12
06084;Mouans-Sartoux;4
06085;Mougins;7
06088;Nice;146
06090;Pégomas;2
06095;Peymeinade;3
06104;Roquebrune-Cap-Martin;5
06105;Roquefort-les-Pins;2
06123;Saint-Laurent-du-Var;11
06149;La Trinité;4
06152;Valbonne;4
06155;Vallauris;10
06157;Vence;7
06159;Villefranche-sur-Mer;3
06161;Villeneuve-Loubet;7
07010;Annonay;7
07019;Aubenas;5
07042;Bourg-Saint-Andéol;3
07102;Guilherand-Granges;4
07186;Privas;4
07281;Saint-Péray;3
07319;Le Teil;3
07324;Tournon-sur-Rhône;4
07349;La Voulte-sur-Rhône;2
08081;Bogny-sur-Meuse;2
08105;Charleville-Mézières;21
08185;Fumay;2
08190;Givet;3
08328;Nouzonville;3
08362;Rethel;3
08363;Revin;5
08409;Sedan;11
08490;Vouziers;2
09122;Foix;6
09160;Lavelanet;3
09225;Pamiers;7
09261;Saint-Girons;2
10033;Bar-sur-Aube;3
10081;La Chapelle-Saint-Luc;7
10268;Nogent-sur-Seine;2
10323;Romilly-sur-Seine;6
10333;Saint-André-les-Vergers;5
10343;Saint-Julien-les-Villas;2
10362;Sainte-Savine;5
10387;Troyes;27
11069;Carcassonne;21
11076;Castelnaudary;5
11106;Coursan;2
11116;Cuxac-d'Aude;2
11203;Lézignan-Corbières;6
11206;Limoux;4
11262;Narbonne;23
11266;Port-la-Nouvelle;2
11379;Sigean;2
11397;Trèbes;2
12089;Decazeville;3
12145;Millau;10
12176;Onet-le-Château;6
12202;Rodez;12
12208;Saint-Affrique;3
12300;Villefranche-de-Rouergue;6
13001;Aix-en-Provence;54
13002;Allauch;6
13004;Arles;25
13005;Aubagne;20
13007;Auriol;4
13014;Berre-l'Étang;6
13015;Bouc-Bel-Air;5
13019;Cabriès;3
13021;Carry-le-Rouet;4
13022;Cassis;4
13026;Châteauneuf-les-Martigues;7
13027;Châteaurenard;6
13028;La Ciotat;14
13032;Éguilles;3
13035;Eyguières;2
13037;La Fare-les-Oliviers;3
13039;Fos-sur-Mer;8
13040;Fuveau;3
13041;Gardanne;8
13042;Gémenos;2
